Created result directory '/tmp/benchmarks/20260405T1416-gnr-hft/wult/short'
Created statistics result directory '/tmp/benchmarks/20260405T1416-gnr-hft/wult/short/stats'
No statistics will be collected
wult: notice: C-state prewake is enabled, and this usually hides the real latency when using 'tdt' as delayed event device
Using 'tdt' (TSC deadline timer)
Setting min. launch distance to 1 ns
Stopped the 'systemd-timesyncd' NTP service
Start measuring CPU 1, collecting 1000000 datapoints, time limit is 5h
Calculating TSC rate for 10s
TSC rate is 1899.960392 MHz

Datapoints: 157538, max. latency: 264.73 us, rate: 486.80 datapoints/sec
Datapoints: 158050, max. latency: 264.73 us, rate: 486.80 datapoints/sec
Datapoints: 158562, max. latency: 264.73 us, rate: 486.78 datapoints/sec
Datapoints: 159042, max. latency: 264.73 us, rate: 486.74 datapoints/sec
Datapoints: 159554, max. latency: 264.73 us, rate: 486.75 datapoints/sec
Datapoints: 160066, max. latency: 264.73 us, rate: 486.80 datapoints/sec
Datapoints: 160546, max. latency: 264.73 us, rate: 486.77 datapoints/sec
Datapoints: 161034, max. latency: 264.73 us, rate: 486.77 datapoints/sec
Datapoints: 161538, max. latency: 264.73 us, rate: 486.82 datapoints/sec
Datapoints: 162018, max. latency: 264.73 us, rate: 486.78 datapoints/sec
Datapoints: 162498, max. latency: 264.73 us, rate: 486.73 datapoints/sec
Datapoints: 162978, max. latency: 264.73 us, rate: 486.68 datapoints/sec
Datapoints: 163490, max. latency: 264.73 us, rate: 486.72 datapoints/sec
Datapoints: 163970, max. latency: 264.73 us, rate: 486.67 datapoints/sec
Datapoints: 164450, max. latency: 264.73 us, rate: 486.60 datapoints/sec
Datapoints: 164962, max. latency: 264.73 us, rate: 486.66 datapoints/sec
Datapoints: 165442, max. latency: 264.73 us, rate: 486.61 datapoints/sec
Datapoints: 165922, max. latency: 264.73 us, rate: 486.59 datapoints/sec
Datapoints: 166402, max. latency: 264.73 us, rate: 486.55 datapoints/sec
Datapoints: 166914, max. latency: 265.88 us, rate: 486.60 datapoints/sec
Datapoints: 167426, max. latency: 265.88 us, rate: 486.62 datapoints/sec
Datapoints: 167938, max. latency: 265.88 us, rate: 486.62 datapoints/sec
Datapoints: 168418, max. latency: 265.88 us, rate: 486.59 datapoints/sec
Datapoints: 168898, max. latency: 265.88 us, rate: 486.53 datapoints/sec
Datapoints: 169410, max. latency: 265.88 us, rate: 486.55 datapoints/sec
Datapoints: 169890, max. latency: 265.88 us, rate: 486.49 datapoints/sec
Datapoints: 170370, max. latency: 265.88 us, rate: 486.45 datapoints/sec
Datapoints: 170882, max. latency: 265.88 us, rate: 486.43 datapoints/sec
Datapoints: 171394, max. latency: 265.88 us, rate: 486.42 datapoints/sec
Datapoints: 171873, max. latency: 265.88 us, rate: 486.36 datapoints/sec
Datapoints: 172385, max. latency: 265.88 us, rate: 486.41 datapoints/sec
